MacroPlot Name,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
FPIPO1T09:10,8/27/1999 0:00,,,,,,,,,,,,,,1,1,20,50,1000,,,,,,,,TRUE
FPIPO1T09:10,8/27/1999 0:00,1,1,1,L,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/27/1999 0:00,2,1,1,L,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/27/1999 0:00,3,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/27/1999 0:00,4,1,1,L,,X,5,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/27/1999 0:00,5,1,1,L,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/27/1999 0:00,6,1,1,L,,X,2,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/27/1999 0:00,7,1,1,L,,X,3,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,10/27/1999 0:00,,,,,,,,,,,,,,1,1,20,50,1000,,,,,,,,TRUE
FPIPO1T09:10,10/27/1999 0:00,1,1,1,D,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,2,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,3,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,4,1,1,L,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,5,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,6,1,1,L,,X,4,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,7,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,8,1,1,D,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,10/27/1999 0:00,9,1,1,D,,X,2,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,10/27/1999 0:00,10,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,10/27/1999 0:00,11,1,1,L,,X,2,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/9/2000 0:00,,,,,,,,,,,,,,1,1,20,50,1000,,,,,,,,TRUE
FPIPO1T09:10,8/9/2000 0:00,1,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/9/2000 0:00,2,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/9/2000 0:00,3,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/9/2000 0:00,4,1,1,D,,X,4,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/9/2000 0:00,5,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/9/2000 0:00,6,1,1,D,,X,5,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,9/20/2001 0:00,,,,,,,,,,,,,,1,1,20,50,1000,,,,,,,,TRUE
FPIPO1T09:10,9/20/2001 0:00,1,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,9/20/2001 0:00,2,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,9/20/2001 0:00,3,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,9/20/2001 0:00,4,1,1,D,,X,4,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,9/20/2001 0:00,5,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,9/20/2001 0:00,6,1,1,D,,X,2,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,9/20/2001 0:00,7,1,1,D,,X,2,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,7/27/2004 0:00,,,,,,,,,,,,,,1,1,20,50,1000,,,,,,,,TRUE
FPIPO1T09:10,7/27/2004 0:00,1,1,1,L,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,7/27/2004 0:00,2,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,7/27/2004 0:00,3,1,1,L,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,7/27/2004 0:00,4,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,7/27/2004 0:00,5,1,1,D,,X,4,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,7/27/2004 0:00,6,1,1,D,,X,1,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,7/27/2004 0:00,7,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,7/27/2004 0:00,8,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/24/2009 13:17,,,,,,,,,,,,,,1,1,20,50,1000,,,,,,,,TRUE
FPIPO1T09:10,8/24/2009 13:17,-2147483648,1,1,L,,I,3,3,1,Height class codes used,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/24/2009 13:17,-2147483647,1,1,L,,I,15,1,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/24/2009 13:17,-2147483646,1,1,D,,I,1,5,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/24/2009 13:17,-2147483645,1,1,D,,I,2,4,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/24/2009 13:17,-2147483644,1,1,D,,I,1,3,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/24/2009 13:17,-2147483643,1,1,L,,I,1,5,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/24/2009 13:17,-2147483642,1,1,L,,I,1,5,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/24/2009 13:17,-2147483641,1,1,L,,I,1,2,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/24/2009 13:17,-2147483640,1,1,L,,I,1,1,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/24/2009 13:17,-2147483639,1,1,L,,I,1,3,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,6/9/2010 14:32,,,,,,,,,,,,,,1,1,50,20,,,,,,,,,TRUE
FPIPO1T09:10,6/9/2010 14:32,-2147483648,1,1,D,,,1,3,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,6/9/2010 14:32,-2147483647,1,1,D,,,2,4,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,6/9/2010 14:32,-2147483646,1,1,D,,,1,5,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,6/9/2010 14:32,-2147483645,1,1,D,,,1,2,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,6/9/2010 14:32,-2147483644,1,1,L,,,1,5,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,6/9/2010 14:32,-2147483643,1,1,D,,,2,3,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,6/9/2010 14:32,-2147483642,1,1,L,,,2,1,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,6/9/2010 14:32,-2147483641,1,1,L,,,1,3,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/8/2011 7:39,,,,,,,,,,,,,,1,1,25,20,500,,,,,,,,TRUE
FPIPO1T09:10,8/8/2011 7:39,-2147483648,1,1,L,SE,,1,3,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/8/2011 7:39,-2147483647,1,1,D,SE,,2,0.6,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/8/2011 7:39,-2147483646,1,1,D,SE,,1,0.15,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/8/2011 7:39,-2147483645,1,1,D,SE,,2,1,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/8/2011 7:39,-2147483644,1,1,L,SE,,1,0.6,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/8/2011 7:39,-2147483643,1,1,L,SE,,1,0.15,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/8/2011 7:39,-2147483642,1,1,L,SE,,1,0.6,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,7/15/2014 16:18,,,,,,,,,,,,,,1,1,50,20,1000,CK AF,,,,,,,TRUE
FPIPO1T09:10,7/15/2014 16:18,-2147483648,1,1,L,SE,I,16,1,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,7/15/2014 16:18,-2147483647,1,1,L,SE,I,19,2,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,7/15/2014 16:18,-2147483646,1,1,L,SE,I,15,3,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,7/15/2014 16:18,-2147483645,1,1,L,SE,I,1,4,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,7/15/2014 16:18,-2147483644,1,1,L,SE,I,2,1,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,7/15/2014 16:18,-2147483643,1,1,L,SE,I,1,5,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/23/2019 11:11,,,,,,,,,,,,,,1,1,50,20,1000,JAJ CCE,CCE,,,,,,TRUE
FPIPO1T09:10,8/23/2019 11:11,-2147483648,1,4,L,X,,2,1,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483647,1,4,L,X,,15,2,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483646,1,4,L,X,,10,3,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483645,1,4,L,X,,6,4,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483644,1,4,L,X,,1,5,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483643,1,1,L,X,,19,3,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483642,1,1,L,X,,8,4,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483641,1,1,L,X,,9,2,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483640,1,1,D,X,,2,4,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483639,1,1,L,X,,1,5,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/23/2019 11:11,-2147483638,1,1,L,X,,3,5,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483637,1,1,L,X,,1,2,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/23/2019 11:11,-2147483636,1,3,L,X,,2,1,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483635,1,3,L,X,,4,2,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483634,1,3,L,X,,1,3,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/23/2019 11:11,-2147483633,1,3,L,X,,2,3,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483632,1,2,L,X,,1,2,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483631,1,2,L,X,,3,4,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483630,1,2,L,X,,2,1,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483629,1,2,L,X,,1,5,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483628,1,2,L,X,,3,3,1,,,,,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/23/2019 11:11,-2147483627,1,2,L,X,,1,4,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/23/2019 11:11,-2147483626,1,2,L,X,,2,1,1,,,,,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/23/2019 11:11,-2147483625,1,2,L,X,,1,3,1,,,,,,,,,,,,,,,,PSME,
